file_name,review,rating,review_type,processed_text
garcia_tripadvisor1_fortworth_stockyardsthingstodo.docx,"5 Exceeded all expectations what a fun historic district. There's only one main street and about a block in either direction but there is so much to do for everyone in the family. We enjoyed the cattle drive. Even with large crowds on eclipse weekend there was plenty of room to see the bulls and cows walk down the street. The massive horns were within reach of the first row of visitors. If you miss the cattle drive you can see the herd in their paddock. There is horseriding (and riding a cow for a picture) a maze a stage coach and wagon a mechanical bull and many stores and restaurants. There is also a rodeo arena and a couple of Western themed museums. Very family friendly. There is also a functioning historic train station and the train pulls right into the middle of what looks like a shopping mall. The vibe was more adult in the evening with a number of bars and honkytonks.

While the area felt safe I was kind of surprised that main street is still a street for vehicle traffic. Especially when it's crowded making the area a walking zone might be a good idea. There is plenty of parking but it was all paid parking when we visited.",5.0,things to do,"5 Exceeded all expectations what a fun historic district. There's only one main street and about a block in either direction but there is so much to do for everyone in the family. We enjoyed the cattle drive. Even with large crowds on eclipse weekend there was plenty of room to see the bulls and cows walk down the street. The massive horns were within reach of the first row of visitors. If you miss the cattle drive you can see the herd in their paddock. There is horseriding (and riding a cow for a picture) a maze a stage coach and wagon a mechanical bull and many stores and restaurants. There is also a rodeo arena and a couple of Western themed museums. Very family friendly. There is also a functioning historic train station and the train pulls right into the middle of what looks like a shopping mall. The vibe was more adult in the evening with a number of bars and honkytonks.

While the area felt safe I was kind of surprised that main street is still a street for vehicle traffic. Especially when it's crowded making the area a walking zone might be a good idea. There is plenty of parking but it was all paid parking when we visited."
garcia_tripadvisor2_fortworth_watergardenthingstodo.docx,"4 This place is at the southern end of the core downtown business district. I had visited it years ago when I lived in Fort Worth briefly but I did not recall much about it. We were in the area and had 30 minutes before a nearby lunch appointment so we stopped by.



We arrived around 11:30 a.m. on a Sunday. There were a lot of people around and it seemed safe at that time; I'm not sure what it is like in the evening though.



We were able to find street parking about 2 blocks away. It was free at the time (I think the parking meter said that it was free on weekends and after 6 p.m. but you should double check that if you are using a metered space).



There are at least 2 entrances to the park at opposite corners. There appeared to be 3 different water features surrounding a small plaza in the middle. There were also stone-capped landscaping / walls surrounding the place.



The first and most popular feature is a sort of inverted ziggurat where the water flows down into the lowest point. There are block stairs (no railings) via which you can access the low point and look up at the terraces. We descended here and checked it out. It was interesting but can get crowded.



The next feature is a sunken pool surrounded by walls. You can descend a staircase and be at pool level. I think it is supposed to be a more serene setting.



The final feature is a slightly sunken pool with spray heads at intervals creating a spray level about 3 feet above the pool along with shifting rainbows if it is sunny out.



If you are in the area and have at least 30 minutes this is worth seeing just for the novelty. Kids seemed to like it too mostly for the opportunities for climbing on rocks or steps.",4.0,things to do,"4 This place is at the southern end of the core downtown business district. I had visited it years ago when I lived in Fort Worth briefly but I did not recall much about it. We were in the area and had 30 minutes before a nearby lunch appointment so we stopped by.



We arrived around 11:30 a.m. on a Sunday. There were a lot of people around and it seemed safe at that time; I'm not sure what it is like in the evening though.



We were able to find street parking about 2 blocks away. It was free at the time (I think the parking meter said that it was free on weekends and after 6 p.m. but you should double check that if you are using a metered space).



There are at least 2 entrances to the park at opposite corners. There appeared to be 3 different water features surrounding a small plaza in the middle. There were also stone-capped landscaping / walls surrounding the place.



The first and most popular feature is a sort of inverted ziggurat where the water flows down into the lowest point. There are block stairs (no railings) via which you can access the low point and look up at the terraces. We descended here and checked it out. It was interesting but can get crowded.



The next feature is a sunken pool surrounded by walls. You can descend a staircase and be at pool level. I think it is supposed to be a more serene setting.



The final feature is a slightly sunken pool with spray heads at intervals creating a spray level about 3 feet above the pool along with shifting rainbows if it is sunny out.



If you are in the area and have at least 30 minutes this is worth seeing just for the novelty. Kids seemed to like it too mostly for the opportunities for climbing on rocks or steps."
garcia_tripadvisor3_fortworth_zoothingstodo.docx,"2 We just moved here and we were so interested in seeing one of the top rated zoos. We were let down. I am the person that believes animals should be in their natural habitat but completely understand that some of them are either too injured or born in captivity and cannot be in the wild. But there enclosures are very small. We made it to the backside of the park to see the 'Texas native"" wildlife. We are from Oklahoma and have seen just about every animal they had in there in the wild. We were just very let down and not what we were expecting from a top rated zoo.",2.0,things to do,"2 We just moved here and we were so interested in seeing one of the top rated zoos. We were let down. I am the person that believes animals should be in their natural habitat but completely understand that some of them are either too injured or born in captivity and cannot be in the wild. But there enclosures are very small. We made it to the backside of the park to see the 'Texas native"" wildlife. We are from Oklahoma and have seen just about every animal they had in there in the wild. We were just very let down and not what we were expecting from a top rated zoo."
garcia_tripadvisor4_fortworth_artmuseumthingstodo.docx,"3 It is not a bad collection but know what to expect.



The collection includes some well known names - Michelangelo Monet and others. A lot of it was focused on European and Biblical themes. There is also an Asian section and a small special exhibit of early Central American art. I found the main collection to be pretty narrow. Most works include extensive descriptions of the piece - they point out details that may go unnoticed but it can also get tiring.



There are two buildings. In my opinion they are poorly laid out in terms of accessibility or avoiding weather (it was cold and wet when I went); it was tiresome and probably impacted my enjoyment of the art. I'm not appreciating the buildings as much as others do. Most staff was friendly; but they seemed rude when I approached sections that were not clearly closed off (a simple ""section closed"" sign would be helpful). The parking garage oddly was the most pristine garage I had ever been in.",3.0,things to do,"3 It is not a bad collection but know what to expect.



The collection includes some well known names - Michelangelo Monet and others. A lot of it was focused on European and Biblical themes. There is also an Asian section and a small special exhibit of early Central American art. I found the main collection to be pretty narrow. Most works include extensive descriptions of the piece - they point out details that may go unnoticed but it can also get tiring.



There are two buildings. In my opinion they are poorly laid out in terms of accessibility or avoiding weather (it was cold and wet when I went); it was tiresome and probably impacted my enjoyment of the art. I'm not appreciating the buildings as much as others do. Most staff was friendly; but they seemed rude when I approached sections that were not clearly closed off (a simple ""section closed"" sign would be helpful). The parking garage oddly was the most pristine garage I had ever been in."
garcia_tripadvisor5_fortworth_sundancesquarethingstodo.docx,1 Unfortunately it appears the management of Sundance Square either do not know what they are doing or more likely there is some kind of financial incentive for causing what was becoming a great place to visit becoming less and less attractive. What with security guards policing kids going in the fountains Reata having to move the loss of 3rd St Market and now 4 Day Weekend leaving the area the place is going downhill fast. Places like 4 Day Weekend are iconic having graced the area for 27 years and now they will be gone to be replaced by what? Probably something that lines someone's pocket but doesn't really add character or charm to downtown. Shame!,1.0,things to do,1 Unfortunately it appears the management of Sundance Square either do not know what they are doing or more likely there is some kind of financial incentive for causing what was becoming a great place to visit becoming less and less attractive. What with security guards policing kids going in the fountains Reata having to move the loss of 3rd St Market and now 4 Day Weekend leaving the area the place is going downhill fast. Places like 4 Day Weekend are iconic having graced the area for 27 years and now they will be gone to be replaced by what? Probably something that lines someone's pocket but doesn't really add character or charm to downtown. Shame!
Jiahao NOLA Hotel Review.rtf,"5 Simply put there is really no comparison. The Windsor Court has the best location best staff best facility - it’s the whole experience. Once you enter the courtyard it feels safe and secluded despite being in the middle of downtown. You can easily walk to the French Quarter river or Warehouse District. The valet team might be the best I’ve ever seen in any location. And of course the rooms are huge and very comfortable. The Polo Lounge on the second floor remains one of my favorite places to relax after a long day. There’s just nothing like the Windsor Court.

1 I had high hopes for this hotel as my husband and myself list New Orleans several times a year and are looking for a hotel that can consistently meet our needs. We were to stay two days this time. However a train came rolling by during the night making so much noise that sleeping was impossible. I had specifically requested a quiet room when I made the reservation so I felt that failure to inform me of the train noise was nothing less than totally negligent. When they were informed the next morning of my total inability to get any sleep the prior night no other arrangements accommodations or discounts were offered. As a result we checked out after only one night and will never return.

5 Always Amazing! The Windsor Court is my favorite hotel anywhere – especially in NOLA! The location staff suite layout amenities doormen Club Floor lounge lounge staff and food/drinks are top notch! Every staff member greets you with a smile and kind word. We stayed recently for four nights in a Club Premium Suite to celebrate a birthday. We arrived back in the room one night to find champagne chocolate covered strawberries and a birthday card! The view from our balcony allowed us to watch the boat traffic on the Mississippi River. This was our 5th stay over many years and it is always perfect. A special shout out to Megan Uram Plauche. Also a big thank you to Christopher and Marissa in the Club Lounge for their exceptional service and warm and caring hospitality. Extra special thank you to Kaomi in the Club Lounge for making the best Kahula Mud Slide I have ever had! The area is very walkable. Casino across the side street Mother’s (NOLA local food) a few blocks away the best charbroiled oysters at Dragos in the Hilton nearby. Easy walk to the WW2 Museum – highly recommend the Beyond All Borders movie. Close to the River Walk and Shops and of course Café du Monde. Also highly recommend Mansion's Luxury Car Service for airport transfers. Can’t wait to come back!
2 Avoid this hotel which no longer lives up to its acclaim! Although once a favorite destination for us this recent visit has ruined all our fond memories. The service was no better than at other New Orleans hotels and worse than at several. The guest rooms appeared old dreary with fabric stains faded depressing colors of carpeting and painted surfaces. Old electronics without a nice selection of TV stations no music listings no USB power at bedside a complicated wireless access system and dreary appearance of hallways and other public areas. The Grill Room restaurant which was once an exquisite and exceptional dining experience has dropped its standards with food preparation wine selection table service dress code and menu selection to the point of not being worth the time or money. Too many other New Orleans offerings!
3 Sadly I did not experience the perfection that others seem to have. I do have a very solid attention to detail though so here are my thoughts. The lobby is pretty - it was decorated for Christmas and gave a great first impression. We had a suite that was large and spacious. At first glance it looked very elegant. However if you looked closely a lack of upkeep was apparent. For instance the toilet roll holder was hanging off the wall and clearly broken; the toilet seat slid around so I fell off to the side several times; there was lots of dust including an atrocious amount behind the night stands and on the plugs; lots of dark scuff marks were on the walls. I will say that the bed was very comfortable. We also had a few minor problems like bath towels not being replenished room service occasionally not picking up our dirty dishes after we pressed the call button and briefly getting stuck in an elevator that went slightly haywire. Staff was fine but they never said hello or acknowledged us when we walked through the lobby which I find odd. Also if you get a room facing the river there will be noisy train sounds throughout the night. For the price we paid I feel like this hotel was sufficient. But I do want to share my experience given all the glowing reviews.
",5.0,hotel,"5 Simply put there is really no comparison. The Windsor Court has the best location best staff best facility - it’s the whole experience. Once you enter the courtyard it feels safe and secluded despite being in the middle of downtown. You can easily walk to the French Quarter river or Warehouse District. The valet team might be the best I’ve ever seen in any location. And of course the rooms are huge and very comfortable. The Polo Lounge on the second floor remains one of my favorite places to relax after a long day. There’s just nothing like the Windsor Court.

1 I had high hopes for this hotel as my husband and myself list New Orleans several times a year and are looking for a hotel that can consistently meet our needs. We were to stay two days this time. However a train came rolling by during the night making so much noise that sleeping was impossible. I had specifically requested a quiet room when I made the reservation so I felt that failure to inform me of the train noise was nothing less than totally negligent. When they were informed the next morning of my total inability to get any sleep the prior night no other arrangements accommodations or discounts were offered. As a result we checked out after only one night and will never return.

5 Always Amazing! The Windsor Court is my favorite hotel anywhere – especially in NOLA! The location staff suite layout amenities doormen Club Floor lounge lounge staff and food/drinks are top notch! Every staff member greets you with a smile and kind word. We stayed recently for four nights in a Club Premium Suite to celebrate a birthday. We arrived back in the room one night to find champagne chocolate covered strawberries and a birthday card! The view from our balcony allowed us to watch the boat traffic on the Mississippi River. This was our 5th stay over many years and it is always perfect. A special shout out to Megan Uram Plauche. Also a big thank you to Christopher and Marissa in the Club Lounge for their exceptional service and warm and caring hospitality. Extra special thank you to Kaomi in the Club Lounge for making the best Kahula Mud Slide I have ever had! The area is very walkable. Casino across the side street Mother’s (NOLA local food) a few blocks away the best charbroiled oysters at Dragos in the Hilton nearby. Easy walk to the WW2 Museum – highly recommend the Beyond All Borders movie. Close to the River Walk and Shops and of course Café du Monde. Also highly recommend Mansion's Luxury Car Service for airport transfers. Can’t wait to come back!
2 Avoid this hotel which no longer lives up to its acclaim! Although once a favorite destination for us this recent visit has ruined all our fond memories. The service was no better than at other New Orleans hotels and worse than at several. The guest rooms appeared old dreary with fabric stains faded depressing colors of carpeting and painted surfaces. Old electronics without a nice selection of TV stations no music listings no USB power at bedside a complicated wireless access system and dreary appearance of hallways and other public areas. The Grill Room restaurant which was once an exquisite and exceptional dining experience has dropped its standards with food preparation wine selection table service dress code and menu selection to the point of not being worth the time or money. Too many other New Orleans offerings!
3 Sadly I did not experience the perfection that others seem to have. I do have a very solid attention to detail though so here are my thoughts. The lobby is pretty - it was decorated for Christmas and gave a great first impression. We had a suite that was large and spacious. At first glance it looked very elegant. However if you looked closely a lack of upkeep was apparent. For instance the toilet roll holder was hanging off the wall and clearly broken; the toilet seat slid around so I fell off to the side several times; there was lots of dust including an atrocious amount behind the night stands and on the plugs; lots of dark scuff marks were on the walls. I will say that the bed was very comfortable. We also had a few minor problems like bath towels not being replenished room service occasionally not picking up our dirty dishes after we pressed the call button and briefly getting stuck in an elevator that went slightly haywire. Staff was fine but they never said hello or acknowledged us when we walked through the lobby which I find odd. Also if you get a room facing the river there will be noisy train sounds throughout the night. For the price we paid I feel like this hotel was sufficient. But I do want to share my experience given all the glowing reviews.
"
cmiel_tripadvisor1_boyntoncanyon_great.rtf,"5 Incredible! It snow the night before we hiked and everything was just gorgeous. We were so fortunate to have a totally sunny morning. Most of the trail was snow covered on the way out and what wasn't was wet but not muddy. The Boynton Canyon trail was fairly easy and the 1/2 mile spur to the cave was too BUT climbing up into the cave was challenging especially with wet rocks! Two couples did not even try. Once you get up you are at the back of the cave. When you turn around you have the most incredible view even more so with the snow I think! I am so glad we did not miss it! Getting down was more difficult than getting up. My husband went down before me and help me or I don't think I could have done it. When we got down we found out we could have walk around a very narrow ledge to the ruins and come down a rocky trail! By the time we headed back it had clouded up and the much of the snow had melted making the trail more slushy.
",5.0,things to do,"5 Incredible! It snow the night before we hiked and everything was just gorgeous. We were so fortunate to have a totally sunny morning. Most of the trail was snow covered on the way out and what wasn't was wet but not muddy. The Boynton Canyon trail was fairly easy and the 1/2 mile spur to the cave was too BUT climbing up into the cave was challenging especially with wet rocks! Two couples did not even try. Once you get up you are at the back of the cave. When you turn around you have the most incredible view even more so with the snow I think! I am so glad we did not miss it! Getting down was more difficult than getting up. My husband went down before me and help me or I don't think I could have done it. When we got down we found out we could have walk around a very narrow ledge to the ruins and come down a rocky trail! By the time we headed back it had clouded up and the much of the snow had melted making the trail more slushy.
"
cmiel_tripadvisor1_boyntoncanyon_okay.rtf,"2 We drove to the Boynton Canyon trailhead and started our first official hike. A 3 mile (each way) hike through the canyon. We actually got a slow start even though it was about 9:30 when we got there. Beautiful landscapes all around us and a blue sky made it a perfect day.As we started up the trail there were trees cactus brush Red rocks and soil. Within 10 minutes we came to a trail marker that offered us the chance to continue on the path we were on or a short detour to the Boynton Vista. So we chose the vista which offered us a great view of the area and a spire at the end of the trail was said to be a vortex. 

After climbing back down we again stated up the original trail meeting other hikers coming back down. Most said it was an easy trail although it was rated at moderate. We got to a point where it was all boulders and the hike was going to turn into more of a mountain climb. As we stood there we decided to wait for a family of hikers who were coming back down the trail. They were voted out of continuing up the trail by the infant on the back of the one woman who was screaming the whole time. An older couple coming back from the end of the trail soon followed and stopped to tell us what to expect. They said it was worth seeing the end because you stand at the edge of a huge valley looking out. They also said the trail gets a little tougher near the end. Near the end? Where we were standing looking toward the trail ahead of us it was already tougher than we a couple of “newbee” hikers wanted to attempt. As we were talking suddenly from the direction we were traveling towards came a loud boom of thunder and the sky was growing incredibly dark. So I made the decision to turn around. Hike called due to thunder and major rocky trail. On the way down we were passed by a family with 2 small children (under ten) who were coming back from the top of the trail. The daughter was leading the way almost running because she was scared of thunder. We got back to the car and you could see the rain coming our way. The forecast never mentioned rain today and I had had my fill of getting wet the past two days.
",2.0,things to do,"2 We drove to the Boynton Canyon trailhead and started our first official hike. A 3 mile (each way) hike through the canyon. We actually got a slow start even though it was about 9:30 when we got there. Beautiful landscapes all around us and a blue sky made it a perfect day.As we started up the trail there were trees cactus brush Red rocks and soil. Within 10 minutes we came to a trail marker that offered us the chance to continue on the path we were on or a short detour to the Boynton Vista. So we chose the vista which offered us a great view of the area and a spire at the end of the trail was said to be a vortex. 

After climbing back down we again stated up the original trail meeting other hikers coming back down. Most said it was an easy trail although it was rated at moderate. We got to a point where it was all boulders and the hike was going to turn into more of a mountain climb. As we stood there we decided to wait for a family of hikers who were coming back down the trail. They were voted out of continuing up the trail by the infant on the back of the one woman who was screaming the whole time. An older couple coming back from the end of the trail soon followed and stopped to tell us what to expect. They said it was worth seeing the end because you stand at the edge of a huge valley looking out. They also said the trail gets a little tougher near the end. Near the end? Where we were standing looking toward the trail ahead of us it was already tougher than we a couple of “newbee” hikers wanted to attempt. As we were talking suddenly from the direction we were traveling towards came a loud boom of thunder and the sky was growing incredibly dark. So I made the decision to turn around. Hike called due to thunder and major rocky trail. On the way down we were passed by a family with 2 small children (under ten) who were coming back from the top of the trail. The daughter was leading the way almost running because she was scared of thunder. We got back to the car and you could see the rain coming our way. The forecast never mentioned rain today and I had had my fill of getting wet the past two days.
"
cmiel_tripadvisor1_brokenarrow_great.rtf,"5 This hike from Broken Arrow TH is little known to most hikers but popular for Pink Jeeps and off roading. There are many options when you start from Broken Arrow TH which is off Morgan Rd near town. It's popular with mountain bikers too esp Hogs Wash loop.  I've hiked this 2 times in my 3 visits to Sedona.  Previously we did the classic BA to Submarine rock (amazing) to Chicken Pt. Great hike and not too long. Little shade but amazing views of surrounding mountains (360 degree view). You can avoid traffic by taking the trail rather than Jeep road. Slight detour to left to get to submarine rock. There are 2 - go to top via slick rock climb and it's epic. Then continue down to Chicken pt where most Jeeper congregrate as there is a steep hill there.   This Dec 2022 we did this starting from BA and then went to High on Hogs (nice views from lookouts there). Similar to a submarine. Then as you ascend its got some very nice view of below. Bikers do this trail so watch out. You continue either to Hogs Wash or loop back to BA via Twin Butte trail.   Great hikes esp so close to Sedona town and great 2-3 hr hikes. Get away from crowds esp on weekends from more popular (Cathedral Bell Rock Devils Bridge) . It's a very diff experience and view given it's 360 vantages esp from Submarine rock.
",5.0,things to do,"5 This hike from Broken Arrow TH is little known to most hikers but popular for Pink Jeeps and off roading. There are many options when you start from Broken Arrow TH which is off Morgan Rd near town. It's popular with mountain bikers too esp Hogs Wash loop.  I've hiked this 2 times in my 3 visits to Sedona.  Previously we did the classic BA to Submarine rock (amazing) to Chicken Pt. Great hike and not too long. Little shade but amazing views of surrounding mountains (360 degree view). You can avoid traffic by taking the trail rather than Jeep road. Slight detour to left to get to submarine rock. There are 2 - go to top via slick rock climb and it's epic. Then continue down to Chicken pt where most Jeeper congregrate as there is a steep hill there.   This Dec 2022 we did this starting from BA and then went to High on Hogs (nice views from lookouts there). Similar to a submarine. Then as you ascend its got some very nice view of below. Bikers do this trail so watch out. You continue either to Hogs Wash or loop back to BA via Twin Butte trail.   Great hikes esp so close to Sedona town and great 2-3 hr hikes. Get away from crowds esp on weekends from more popular (Cathedral Bell Rock Devils Bridge) . It's a very diff experience and view given it's 360 vantages esp from Submarine rock.
"
cmiel_tripadvisor1_brokenarrow_okay.rtf,"3 The trail is 1.7 miles one way from the parking lot to Chicken Point. The parking lot and trailhead are at the end of Morgan Road which is the third (?) roundabout when going south out of Sedona on Highway 179. There is a small parking lot (no facilities) just beyond the end of the paved portion of Morgan Road.

Broken Arrow Trail is an easy well-used trail suitable for novice walkers and those without heavy duty hiking gear. It climbs steadily from the parking lot to Chicken Point. Views from Chicken Point over the surrounding countryside and to the red rocks beyond are great.

The downside of the Broken Arrow Trail is that it parallels a jeap trail which at times can be quite busy and noisy. If you want solitude on the trail and at Chicken Point set off early in the morning when the temperature is still cool and the jeep tours haven't yet got going. If you get to Chicken Point before 11am you'll beat the crowds! Going back you can watch the jeeps doing their acrobatics (see pics) while still admiring the view.
",3.0,things to do,"3 The trail is 1.7 miles one way from the parking lot to Chicken Point. The parking lot and trailhead are at the end of Morgan Road which is the third (?) roundabout when going south out of Sedona on Highway 179. There is a small parking lot (no facilities) just beyond the end of the paved portion of Morgan Road.

Broken Arrow Trail is an easy well-used trail suitable for novice walkers and those without heavy duty hiking gear. It climbs steadily from the parking lot to Chicken Point. Views from Chicken Point over the surrounding countryside and to the red rocks beyond are great.

The downside of the Broken Arrow Trail is that it parallels a jeap trail which at times can be quite busy and noisy. If you want solitude on the trail and at Chicken Point set off early in the morning when the temperature is still cool and the jeep tours haven't yet got going. If you get to Chicken Point before 11am you'll beat the crowds! Going back you can watch the jeeps doing their acrobatics (see pics) while still admiring the view.
"
